VARIABLES = "x", "v"
ZONE T="timezone" SOLUTIONTIME=0
I = 40, F=POINT
0.475 -0.7648
0.5 -0.8894
0.525 -1
0.55 -1
0.575 -1
0.6 -1
0.625 -1
0.65 -1
0.675 -1
0.7 -1
0.725 -1
0.75 -1
0.775 -1
0.8 -1
0.825 -1
0.85 -1
0.875 -1
0.9 -1
0.925 -1
0.95 -1
0.975 -1
1 -1
ZONE T="timezone" SOLUTIONTIME=0.135
I = 40, F=POINT
0.025 0.9999
0.05 0.9998
0.075 0.9995
0.1 0.9986
0.125 0.9974
0.15 0.9908
0.175 0.9821
0.2 0.962
0.225 0.9296
0.25 0.8768
0.275 0.7961
0.3 0.68
0.325 0.5221
0.35 0.3243
0.375 0.08908
0.4 -0.161
0.425 -0.417
0.45 -0.6302
0.475 -0.8228
0.5 -0.9177
0.525 -1
0.55 -1
0.575 -1
0.6 -1
0.625 -1
0.65 -1
0.675 -1
0.7 -1
0.725 -1
0.75 -1
0.775 -1
0.8 -1
0.825 -1
0.85 -1
0.875 -1
0.9 -1
0.925 -1
0.95 -1
0.975 -1
1 -1
ZONE T="timezone" SOLUTIONTIME=0.15
I = 40, F=POINT
0.025 0.9997
0.05 0.9994
0.075 0.9982
0.1 0.9964
0.125 0.9902
0.15 0.9806
0.175 0.9624
0.2 0.932
0.225 0.8837
0.25 0.8111
0.275 0.7071
0.3 0.5672
0.325 0.3887
0.35 0.1778
0.375 -0.0586
0.4 -0.2961
0.425 -0.5267
0.45 -0.7081
0.475 -0.8669
0.5 -0.9385
0.525 -1
0.55 -1
0.575 -1
0.6 -1
0.625 -1
0.65 -1
0.675 -1
0.7 -1
0.725 -1
0.75 -1
0.775 -1
0.8 -1
0.825 -1
0.85 -1
0.875 -1
0.9 -1
0.925 -1
0.95 -1
0.975 -1
1 -1
ZONE T="timezone" SOLUTIONTIME=0.165
I = 40, F=POINT
0.025 0.9991
0.05 0.9979
0.075 0.9955
0.1 0.9898
0.125 0.98
0.15 0.9629
0.175 0.9348
0.2 0.8906
0.225 0.8248
0.25 0.7316
0.275 0.6059
0.3 0.4461
0.325 0.2531
0.35 0.03673
0.375 -0.1936
0.4 -0.4136
0.425 -0.6177
0.45 -0.7699
0.475 -0.9003
0.5 -0.9539
0.525 -1
0.55 -1
0.575 -1
0.6 -1
0.625 -1
0.65 -1
0.675 -1
0.7 -1
0.725 -1
0.75 -1
0.775 -1
0.8 -1
0.825 -1
0.85 -1
0.875 -1
0.9 -1
0.925 -1
0.95 -1
0.975 -1
1 -1
ZONE T="timezone" SOLUTIONTIME=0.18
I = 40, F=POINT
0.025 0.9974
0.05 0.9948
0.075 0.9895
0.1 0.98
0.125 0.9638
0.15 0.9377
0.175 0.8973
0.2 0.8376
0.225 0.7534
0.25 0.6404
0.275 0.4957
0.3 0.3207
0.325 0.1194
0.35 -0.09575
0.375 -0.3145
0.4 -0.5142
0.425 -0.6924
0.45 -0.8188
0.475 -0.9255
0.5 -0.9653
0.525 -1
0.55 -1
0.575 -1
0.6 -1
0.625 -1
0.65 -1
0.675 -1
0.7 -1
0.725 -1
0.75 -1
0.775 -1
0.8 -1
0.825 -1
0.85 -1
0.875 -1
0.9 -1
0.925 -1
0.95 -1
0.975 -1
1 -1
ZONE T="timezone" SOLUTIONTIME=0.195
I = 40, F=POINT
0.025 0.9942
0.05 0.9893
0.075 0.9801
0.1 0.9649
0.125 0.9407
0.15 0.9036
0.175 0.8493
0.2 0.7732
0.225 0.6709
0.25 0.54
0.275 0.3799
0.3 0.1948
0.325 -0.008929
0.35 -0.2176
0.375 -0.4213
0.4 -0.5994
0.425 -0.7534
0.45 -0.8575
0.475 -0.9445
0.5 -0.9739
0.525 -1
0.55 -1
0.575 -1
0.6 -1
0.625 -1
0.65 -1
0.675 -1
0.7 -1
0.725 -1
0.75 -1
0.775 -1
0.8 -1
0.825 -1
0.85 -1
0.875 -1
0.9 -1
0.925 -1
0.95 -1
0.975 -1
1 -1
ZONE T="timezone" SOLUTIONTIME=0.21
I = 40, F=POINT
0.025 0.9887
0.05 0.9805
0.075 0.9662
0.1 0.9437
0.125 0.9096
0.15 0.8602
0.175 0.791
0.2 0.6983
0.225 0.5792
0.25 0.4331
0.275 0.2617
0.3 0.07146
0.325 -0.1297
0.35 -0.3278
0.375 -0.5142
0.4 -0.6711
0.425 -0.8029
0.45 -0.8881
0.475 -0.9588
0.5 -0.9804
0.525 -1
0.55 -1
0.575 -1
0.6 -1
0.625 -1
0.65 -1
0.675 -1
0.7 -1
0.725 -1
0.75 -1
0.775 -1
0.8 -1
0.825 -1
0.85 -1
0.875 -1
0.9 -1
0.925 -1
0.95 -1
0.975 -1
1 -1
ZONE T="timezone" SOLUTIONTIME=0.225
I = 40, F=POINT
0.025 0.9802
0.05 0.9676
0.075 0.9467
0.1 0.9154
0.125 0.8701
0.15 0.8072
0.175 0.7229
0.2 0.6144
0.225 0.4804
0.25 0.3224
0.275 0.144
0.3 -0.04676
0.325 -0.2413
0.35 -0.4261
0.375 -0.5943
0.4 -0.7309
0.425 -0.843
0.45 -0.9122
0.475 -0.9694
0.5 -0.9853
0.525 -1
0.55 -1
0.575 -1
0.6 -1
0.625 -1
0.65 -1
0.675 -1
0.7 -1
0.725 -1
0.75 -1
0.775 -1
0.8 -1
0.825 -1
0.85 -1
0.875 -1
0.9 -1
0.925 -1
0.95 -1
0.975 -1
1 -1
ZONE T="timezone" SOLUTIONTIME=0.24
I = 40, F=POINT
0.025 0.9679
0.05 0.9496
0.075 0.9208
0.1 0.8794
0.125 0.8219
0.15 0.745
0.175 0.646
0.2 0.5232
0.225 0.377
0.25 0.2106
0.275 0.02928
0.3 -0.1581
0.325 -0.3429
0.35 -0.5128
0.375 -0.6628
0.4 -0.7806
0.425 -0.8753
0.45 -0.9313
0.475 -0.9773
0.5 -0.989
0.525 -1
0.55 -1
0.575 -1
0.6 -1
0.625 -1
0.65 -1
0.675 -1
0.7 -1
0.725 -1
0.75 -1
0.775 -1
0.8 -1
0.825 -1
0.85 -1
0.875 -1
0.9 -1
0.925 -1
0.95 -1
0.975 -1
1 -1
ZONE T="timezone" SOLUTIONTIME=0.255
I = 40, F=POINT
0.025 0.9509
0.05 0.9259
0.075 0.8879
0.1 0.8353
0.125 0.7651
0.15 0.6745
0.175 0.5617
0.2 0.4266
0.225 0.2712
0.25 0.09999
0.275 -0.08061
0.3 -0.2614
0.325 -0.4343
0.35 -0.5884
0.375 -0.7209
0.4 -0.8215
0.425 -0.9013
0.45 -0.9462
0.475 -0.9832
0.5 -0.9918
0.525 -1
0.55 -1
0.575 -1
0.6 -1
0.625 -1
0.65 -1
0.675 -1
0.7 -1
0.725 -1
0.75 -1
0.775 -1
0.8 -1
0.825 -1
0.85 -1
0.875 -1
0.9 -1
0.925 -1
0.95 -1
0.975 -1
1 -1
ZONE T="timezone" SOLUTIONTIME=0.27
I = 40, F=POINT
0.025 0.9286
0.05 0.8958
0.075 0.8477
0.1 0.7833
0.125 0.7002
0.15 0.5965
0.175 0.4716
0.2 0.3267
0.225 0.1651
0.25 -0.007518
0.275 -0.1842
0.3 -0.356
0.325 -0.5156
0.35 -0.6539
0.375 -0.7698
0.4 -0.8553
0.425 -0.9221
0.45 -0.958
0.475 -0.9876
0.5 -0.9939
0.525 -1
0.55 -1
0.575 -1
0.6 -1
0.625 -1
0.65 -1
0.675 -1
0.7 -1
0.725 -1
0.75 -1
0.775 -1
0.8 -1
0.825 -1
0.85 -1
0.875 -1
0.9 -1
0.925 -1
0.95 -1
0.975 -1
1 -1
ZONE T="timezone" SOLUTIONTIME=0.285
I = 40, F=POINT
0.025 0.9004
0.05 0.8588
0.075 0.8
0.1 0.7237
0.125 0.6282
0.15 0.5126
0.175 0.3775
0.2 0.2254
0.225 0.06063
0.25 -0.1104
0.275 -0.2806
0.3 -0.4416
0.325 -0.5873
0.35 -0.7101
0.375 -0.8109
0.4 -0.8829
0.425 -0.9388
0.45 -0.9672
0.475 -0.9908
0.5 -0.9954
0.525 -1
0.55 -1
0.575 -1
0.6 -1
0.625 -1
0.65 -1
0.675 -1
0.7 -1
0.725 -1
0.75 -1
0.775 -1
0.8 -1
0.825 -1
0.85 -1
0.875 -1
0.9 -1
0.925 -1
0.95 -1
0.975 -1
1 -1
ZONE T="timezone" SOLUTIONTIME=0.3
I = 40, F=POINT
0.025 0.8658
0.05 0.815
0.075 0.745
0.1 0.657
0.125 0.5499
0.15 0.424
0.175 0.281
0.2 0.1244
0.225 -0.04067
0.25 -0.2075
0.275 -0.3693
0.3 -0.5183
0.325 -0.6499
0.35 -0.7581
0.375 -0.8451
0.4 -0.9054
0.425 -0.952
0.45 -0.9745
0.475 -0.9932
0.5 -0.9966
0.525 -1
0.55 -1
0.575 -1
0.6 -1
0.625 -1
0.65 -1
0.675 -1
0.7 -1
0.725 -1
0.75 -1
0.775 -1
0.8 -1
0.825 -1
0.85 -1
0.875 -1
0.9 -1
0.925 -1
0.95 -1
0.975 -1
1 -1
ZONE T="timezone" SOLUTIONTIME=0.3
I = 40, F=POINT
0.025 0.8658
0.05 0.815
0.075 0.745
0.1 0.657
0.125 0.5499
0.15 0.424
0.175 0.281
0.2 0.1244
0.225 -0.04067
0.25 -0.2075
0.275 -0.3693
